(morp)	B_PS	B_OG	B_LC	B_DT	B_TI	I_PS	I_OG	I_LC	I_DT	I_TI	O	I
그러므로	0	0	0	0	0	0	0	0	0	0	3	0
NII	0	0	0	0	0	0	0	0	0	0	1	0
기둥서방	0	0	0	0	0	0	0	0	0	0	3	0
정확	0	0	0	0	0	0	0	0	0	0	13	0
마개	0	0	0	0	0	0	0	0	0	0	1	0
파라다이스호텔	0	0	0	0	0	0	0	0	0	0	0	1
환자	0	0	0	0	0	0	0	0	0	0	6	0
동남아지역	0	0	1	0	0	0	0	0	0	0	0	0
적히	0	0	0	0	0	0	0	0	0	0	1	0
신영복	1	0	0	0	0	0	0	0	0	0	0	0
나	0	0	0	0	0	0	0	0	0	0	320	1
런던	0	0	7	0	0	0	0	0	0	0	0	0
안보리의장	0	1	0	0	0	0	0	0	0	0	0	0
공연	0	0	0	0	0	0	0	0	0	0	26	0
적절	0	0	0	0	0	0	0	0	0	0	4	0
진술서	0	0	0	0	0	0	0	0	0	0	1	0
뉴욕시	0	0	1	0	0	0	0	0	0	0	0	0
스카프	0	0	0	0	0	0	0	0	0	0	3	0
크리스마스	0	0	0	7	0	0	0	0	0	0	0	0
사진관	0	0	0	0	0	0	0	0	0	0	2	0
물리선생	0	0	0	0	0	0	0	0	0	0	1	0
경성경제전문학교	0	1	0	0	0	0	0	0	0	0	0	0
배후문제	0	0	0	0	0	0	0	0	0	0	1	0
선물꾸러미	0	0	0	0	0	0	0	0	0	0	1	0
숨김없이	0	0	0	0	0	0	0	0	0	0	1	0
다음	0	0	0	0	0	0	0	0	0	0	41	0
협동	0	0	0	0	0	0	0	0	0	0	2	0
산비탈	0	0	0	0	0	0	0	0	0	0	2	0
주검	0	0	0	0	0	0	0	0	0	0	2	0
성립	0	0	0	0	0	0	0	0	0	0	2	0
내수시장	0	0	0	0	0	0	0	0	0	0	1	0
창작의지	0	0	0	0	0	0	0	0	0	0	1	0
타오르	0	0	0	0	0	0	0	0	0	0	2	0
잠	0	0	0	0	0	0	0	0	0	0	15	0
노고	0	0	0	0	0	0	0	0	0	0	2	0
비매품	0	0	0	0	0	0	0	0	0	0	1	0
창간	0	0	0	0	0	0	0	0	0	0	1	0
기어이	0	0	0	0	0	0	0	0	0	0	4	0
되	0	0	0	0	0	0	0	0	0	0	1110	0
침투행위	0	0	0	0	0	0	0	0	0	0	1	0
강제억	1	0	0	0	0	0	0	0	0	0	0	0
유니버설	0	0	0	0	0	0	0	0	0	0	1	0
윤영규	1	0	0	0	0	0	0	0	0	0	0	0
감시장비	0	0	0	0	0	0	0	0	0	0	1	0
기막히	0	0	0	0	0	0	0	0	0	0	2	0
끊임없이	0	0	0	0	0	0	0	0	0	0	2	0
초생달	0	0	0	0	0	0	0	0	0	0	2	0
헛갈리	0	0	0	0	0	0	0	0	0	0	2	0
가령	0	0	0	0	0	0	0	0	0	0	1	0
광대	0	0	0	0	0	0	0	0	0	0	1	0
재검토	0	0	0	0	0	0	0	0	0	0	3	0
합세	0	0	0	0	0	0	0	0	0	0	1	0
식상	0	0	0	0	0	0	0	0	0	0	1	0
충절	0	0	0	0	0	0	0	0	0	0	1	0
켜켜로	0	0	0	0	0	0	0	0	0	0	1	0
학대	0	0	0	0	0	0	0	0	0	0	4	0
지난날	0	0	0	1	0	0	0	0	0	0	3	0
언론	0	0	0	0	0	0	0	0	0	0	11	0
차주인	0	0	0	0	0	0	0	0	0	0	1	0
義士	0	0	0	0	0	0	0	0	0	0	1	0
비교생물학	0	0	0	0	0	0	0	0	0	0	1	0
콜롬보	2	0	0	0	0	0	0	0	0	0	0	0
사랑방	0	0	0	0	0	0	0	0	0	0	1	1
벌어들이	0	0	0	0	0	0	0	0	0	0	1	0
업적	0	0	0	0	0	0	0	0	0	0	6	0
자금운용부	0	0	0	0	0	0	0	0	0	0	1	0
윤리관	0	0	0	0	0	0	0	0	0	0	6	0
음악축제	0	0	0	0	0	0	0	0	0	0	1	0
속삭이	0	0	0	0	0	0	0	0	0	0	1	0
능소화	0	0	0	0	0	0	0	0	0	0	2	0
졸속	0	0	0	0	0	0	0	0	0	0	1	0
배상	0	0	0	0	0	0	0	0	0	0	1	0
못	0	0	0	0	0	0	0	0	0	0	28	0
감사	0	0	0	0	0	0	0	0	0	0	4	0
原罪思想	0	0	0	0	0	0	0	0	0	0	1	0
집대성	0	0	0	0	0	0	0	0	0	0	1	0
야간대학	0	0	0	0	0	0	0	0	0	0	1	0
은데	0	0	0	0	0	0	0	0	0	0	4	0
국수주의	0	0	0	0	0	0	0	0	0	0	1	0
얼리	0	0	0	0	0	0	0	0	0	0	1	0
大星	0	0	0	0	0	0	0	0	0	0	1	0
태양	0	0	15	0	0	0	0	0	0	0	0	0
철	0	0	0	0	0	0	0	0	0	0	1	0
스물	0	0	0	0	0	0	0	0	0	0	1	0
증폭	0	0	0	0	0	0	0	0	0	0	2	0
준	0	0	0	0	0	0	0	0	0	0	0	3
앨런	1	0	0	0	0	0	0	0	0	0	0	0
두드러지	0	0	0	0	0	0	0	0	0	0	2	0
기수푼	0	0	0	0	0	0	0	0	0	0	1	0
위력	0	0	0	0	0	0	0	0	0	0	1	0
지식인	0	0	0	0	0	0	0	0	0	0	6	0
불과하	0	0	0	0	0	0	0	0	0	0	14	0
사수	0	0	0	0	0	0	0	0	0	0	1	0
불확실	0	0	0	0	0	0	0	0	0	0	3	0
서두르	0	0	0	0	0	0	0	0	0	0	7	0
중립주의	0	0	0	0	0	0	0	0	0	0	1	0
농민	0	0	0	0	0	0	0	0	0	0	3	0
평가제도	0	0	0	0	0	0	0	0	0	0	1	0
권력	0	0	0	0	0	0	0	0	0	0	9	0
엎어지	0	0	0	0	0	0	0	0	0	0	1	0
개칭	0	0	0	0	0	0	0	0	0	0	1	0
곡	0	0	0	0	0	0	0	0	0	0	4	0
스캔들	0	0	0	0	0	0	0	0	0	0	2	0
결단식	0	0	0	0	0	0	0	0	0	0	1	0
대한민국정부	0	1	0	0	0	0	0	0	0	0	0	0
건너가	0	0	0	0	0	0	0	0	0	0	2	0
물길	0	0	0	0	0	0	0	0	0	0	1	0
복종	0	0	0	0	0	0	0	0	0	0	1	0
꾸미	0	0	0	0	0	0	0	0	0	0	3	0
교육원	0	0	0	0	0	0	0	0	0	0	0	1
동양	0	0	8	0	0	0	0	0	0	0	0	0
불법입국자	0	0	0	0	0	0	0	0	0	0	1	0
난초	0	0	0	0	0	0	0	0	0	0	1	0
부랑자	0	0	0	0	0	0	0	0	0	0	1	0
빌리	0	0	0	0	0	0	0	0	0	0	12	0
여행	0	0	0	0	0	0	0	0	0	0	5	0
밀어붙이	0	0	0	0	0	0	0	0	0	0	1	0
공산독재	0	0	0	0	0	0	0	0	0	0	1	0
神	0	0	0	0	0	0	0	0	0	0	17	0
여성문화	0	1	0	0	0	0	0	0	0	0	0	0
들치	0	0	0	0	0	0	0	0	0	0	1	0
21	0	0	0	8	0	0	0	0	0	0	6	4
私學	0	0	0	0	0	0	0	0	0	0	2	0
식장	0	0	0	0	0	0	0	0	0	0	1	0
plenum	0	0	0	0	0	0	0	0	0	0	1	0
사실	0	0	0	0	0	0	0	0	0	0	90	0
덴마크등	0	0	1	0	0	0	0	0	0	0	0	0
공	0	0	0	0	0	0	0	0	0	0	3	0
그해	0	0	0	0	0	0	0	0	0	0	1	0
포착	0	0	0	0	0	0	0	0	0	0	1	0
승락	0	0	0	0	0	0	0	0	0	0	1	0
김창기	1	0	0	0	0	0	0	0	0	0	0	0
용평리조트	0	2	0	0	0	0	0	0	0	0	0	0
전도사	0	0	0	0	0	0	0	0	0	0	1	0
조장	0	0	0	0	0	0	0	0	0	0	2	0
남부	0	0	0	0	0	0	0	0	0	0	1	0
epicycle	0	0	0	0	0	0	0	0	0	0	2	0
재벌	0	0	0	0	0	0	0	0	0	0	1	0
지금	0	0	0	0	0	0	0	0	0	0	78	0
빼	0	0	0	0	0	0	0	0	0	0	10	0
우주	0	0	22	0	0	0	0	0	0	0	3	0
교육관료	0	0	0	0	0	0	0	0	0	0	2	0
중견	0	0	0	0	0	0	0	0	0	0	1	0
1632	0	0	0	1	0	0	0	0	0	0	0	0
멜로	0	0	0	0	0	0	0	0	0	0	1	0
상투	0	0	0	0	0	0	0	0	0	0	1	0
그립	0	0	0	0	0	0	0	0	0	0	2	0
폐	0	0	0	0	0	0	0	0	0	0	1	0
주범	0	0	0	0	0	0	0	0	0	0	1	0
6·25	0	0	0	0	0	0	0	0	0	0	1	0
감싸	0	0	0	0	0	0	0	0	0	0	1	0
애꿎	0	0	0	0	0	0	0	0	0	0	1	0
출입국	0	0	0	0	0	0	0	0	0	0	3	0
혼인비용	0	0	0	0	0	0	0	0	0	0	1	0
따위	0	0	0	0	0	0	0	0	0	0	12	0
무산	0	0	0	0	0	0	0	0	0	0	4	0
스릴러	0	0	0	0	0	0	0	0	0	0	1	0
지식체계	0	0	0	0	0	0	0	0	0	0	2	0
차아파트	0	0	0	0	0	0	0	0	0	0	1	0
공문	0	0	0	0	0	0	0	0	0	0	2	0
한층	0	0	0	0	0	0	0	0	0	0	3	0
도입	0	0	0	0	0	0	0	0	0	0	14	0
위	0	0	0	0	0	0	0	0	0	0	64	0
드나들	0	0	0	0	0	0	0	0	0	0	3	0
양	0	0	0	1	0	0	0	0	0	0	35	0
쫓아가	0	0	0	0	0	0	0	0	0	0	2	0
데뷔작	0	0	0	0	0	0	0	0	0	0	1	0
전통	0	0	0	0	0	0	0	0	0	0	15	0
당대	0	0	0	0	0	0	0	0	0	0	3	0
민선생	3	0	0	0	0	0	0	0	0	0	0	0
교환	0	0	0	0	0	0	0	0	0	0	2	0
디	0	0	0	0	0	0	0	0	0	0	1	0
판국	0	0	0	0	0	0	0	0	0	0	1	0
경고서한	0	0	0	0	0	0	0	0	0	0	1	0
비틀스	1	0	0	0	0	0	0	0	0	0	0	0
온대지방	0	0	0	0	0	0	0	0	0	0	1	0
매우	0	0	0	0	0	0	0	0	0	0	12	0
멕시코	0	0	3	0	0	0	0	0	0	0	1	0
찌르	0	0	0	0	0	0	0	0	0	0	3	0
한글	0	0	0	0	0	0	0	0	0	0	2	0
기동욱	1	0	0	0	0	0	0	0	0	0	0	0
자면	0	0	0	0	0	0	0	0	0	0	5	0
간간이	0	0	0	0	0	0	0	0	0	0	3	0
유학파	0	0	0	0	0	0	0	0	0	0	1	0
예방	0	0	0	0	0	0	0	0	0	0	2	0
차량	0	0	0	0	0	0	0	0	0	0	1	0
잊	0	0	0	0	0	0	0	0	0	0	8	0
원시	0	0	0	0	0	0	0	0	0	0	2	0
공참총장	0	0	0	0	0	0	0	0	0	0	1	0
왕십리	0	0	1	0	0	0	0	0	0	0	0	0
월권	0	0	0	0	0	0	0	0	0	0	1	0
할인	0	0	0	0	0	0	0	0	0	0	2	0
올라오	0	0	0	0	0	0	0	0	0	0	9	0
나무	3	0	0	0	0	0	0	0	0	0	9	0
고모령	0	0	0	0	0	0	0	0	0	0	1	0
유문숙	1	0	0	0	0	0	0	0	0	0	0	0
가위	0	0	0	0	0	0	0	0	0	0	2	0
포신	0	0	0	0	0	0	0	0	0	0	1	0
부수	0	0	0	0	0	0	0	0	0	0	2	0
세계춤	0	0	0	0	0	0	0	0	0	0	1	0
한정	0	0	0	0	0	0	0	0	0	0	1	0
당하	0	0	0	0	0	0	0	0	0	0	36	0
엄마	0	0	0	0	0	0	0	0	0	0	11	0
꼽히	0	0	0	0	0	0	0	0	0	0	3	0
소환	0	0	0	0	0	0	0	0	0	0	2	0
잡히	0	0	0	0	0	0	0	0	0	0	6	0
재정	0	0	0	0	0	0	0	0	0	0	5	0
사무엘	1	0	0	0	0	0	0	0	0	0	0	0
고장여부	0	0	0	0	0	0	0	0	0	0	1	0
실장	0	0	0	0	0	0	0	0	0	0	2	0
학술지	0	0	0	0	0	0	0	0	0	0	1	0
거절	0	0	0	0	0	0	0	0	0	0	5	0
대성황	0	0	0	0	0	0	0	0	0	0	1	0
백악관	0	2	0	0	0	0	0	0	0	0	0	0
교육부문	0	1	0	0	0	0	0	0	0	0	0	0
부두목	0	0	0	0	0	0	0	0	0	0	1	0
팩스정보	0	0	0	0	0	0	0	0	0	0	1	0
내무반	0	0	0	0	0	0	0	0	0	0	2	0
육성회	0	4	0	0	0	0	0	0	0	0	0	2
F	0	0	0	0	0	0	0	0	0	0	5	0
통감	0	0	0	0	0	0	0	0	0	0	2	0
외교력	0	0	0	0	0	0	0	0	0	0	1	0
반바지	0	0	0	0	0	0	0	0	0	0	2	0
체니	1	0	0	0	0	0	0	0	0	0	0	0
출정	0	0	0	0	0	0	0	0	0	0	1	0
대가	0	0	0	0	0	0	0	0	0	0	3	0
뒤늦	0	0	0	0	0	0	0	0	0	0	6	0
본부	0	0	0	0	0	0	0	0	0	0	2	1
지목	0	0	0	0	0	0	0	0	0	0	2	0
왕자	0	0	0	0	0	0	0	0	0	0	1	0
려면	0	0	0	0	0	0	0	0	0	0	8	0
편의주의	0	0	0	0	0	0	0	0	0	0	1	0
토요일	0	0	0	2	0	0	0	0	0	0	0	1
성적	0	0	0	0	0	0	0	0	0	0	3	0
100	0	0	0	4	0	0	0	0	0	0	0	0
안절부절	0	0	0	0	0	0	0	0	0	0	1	0
초코하임	0	0	0	0	0	0	0	0	0	0	1	0
자네	0	0	0	0	0	0	0	0	0	0	4	0
탕탕	0	0	0	0	0	0	0	0	0	0	1	0
부담	0	0	0	0	0	0	0	0	0	0	7	0
기에	0	0	0	0	0	0	0	0	0	0	2	0
폰다	0	0	0	0	0	0	0	0	0	0	0	1
김성수	20	0	0	0	0	0	0	0	0	0	0	0
환호	0	0	0	0	0	0	0	0	0	0	1	0
이정재	13	0	0	0	0	0	0	0	0	0	0	0
눈길	0	0	0	0	0	0	0	0	0	0	16	0
싱가포르	0	0	10	0	0	0	0	0	0	0	0	0
제14	0	0	0	0	0	0	0	0	0	0	1	0
미래불	0	0	0	0	0	0	0	0	0	0	1	0
매맛	0	0	0	0	0	0	0	0	0	0	1	0
청소부	0	0	0	0	0	0	0	0	0	0	1	0
려니와	0	0	0	0	0	0	0	0	0	0	1	0
섞이	0	0	0	0	0	0	0	0	0	0	2	0
봉제업	0	0	0	0	0	0	0	0	0	0	1	0
지역	0	0	0	0	0	0	0	0	0	0	26	0
바이푼	0	0	0	0	0	0	0	0	0	0	1	0
태영화제	0	0	0	0	0	0	0	0	0	0	1	0
등급외	0	0	0	0	0	0	0	0	0	0	2	0
학도호국단	0	1	0	0	0	0	0	0	0	0	0	0
시력	0	0	0	0	0	0	0	0	0	0	2	0
물가당국	0	0	0	0	0	0	0	0	0	0	1	0
소녀대대장	0	0	0	0	0	0	0	0	0	0	1	0
입장	0	0	0	0	0	0	0	0	0	0	28	0
팜스프링스	0	0	1	0	0	0	0	0	0	0	0	0
바리사이파	0	0	1	0	0	0	0	0	0	0	1	0
감탄	0	0	0	0	0	0	0	0	0	0	2	0
아뭏든	0	0	0	0	0	0	0	0	0	0	1	0
데려가	0	0	0	0	0	0	0	0	0	0	1	0
노동법개정	0	0	0	0	0	0	0	0	0	0	2	0
정교	0	0	0	0	0	0	0	0	0	0	1	0
동의	0	0	0	0	0	0	0	0	0	0	9	0
민망	0	0	0	0	0	0	0	0	0	0	1	0
부사장	0	0	0	0	0	0	0	0	0	0	1	0
세도정치	0	0	0	0	0	0	0	0	0	0	1	0
왕좌	0	0	0	0	0	0	0	0	0	0	1	0
벌벌	0	0	0	0	0	0	0	0	0	0	3	0
옹달샘	0	0	0	0	0	0	0	0	0	0	3	0
주리론	0	0	0	0	0	0	0	0	0	0	1	0
불가	0	0	0	0	0	0	0	0	0	0	1	0
속량	0	0	0	0	0	0	0	0	0	0	1	0
우리교육	0	0	0	0	0	0	0	0	0	0	2	0
은박지	0	0	0	0	0	0	0	0	0	0	1	0
소방	0	0	0	0	0	0	0	0	0	0	1	0
남성미	0	0	0	0	0	0	0	0	0	0	1	0
집결	0	0	0	0	0	0	0	0	0	0	1	0
놀이마당	0	0	0	0	0	0	0	0	0	0	1	0
씨큐리티	0	0	0	0	0	0	0	0	0	0	0	1
大理想	0	0	0	0	0	0	0	0	0	0	1	0
한계	0	0	0	0	0	0	0	0	0	0	7	0
일자	0	0	0	0	0	0	0	0	0	0	3	0
민자당병	0	1	0	0	0	0	0	0	0	0	0	0
극락	0	0	0	0	0	0	0	0	0	0	1	0
民正	0	0	0	0	0	0	0	0	0	0	1	0
묘	0	0	0	0	0	0	0	0	0	0	1	0
서울아시아	0	0	0	0	0	0	0	0	0	0	0	1
효력	0	0	0	0	0	0	0	0	0	0	1	0
史蹟地	0	0	0	0	0	0	0	0	0	0	1	0
가다듬	0	0	0	0	0	0	0	0	0	0	1	0
중엽	0	0	0	0	0	0	0	0	0	0	0	1
날개	0	0	0	0	0	0	0	0	0	0	2	0
라고	0	0	0	0	0	0	0	0	0	0	164	0
계절	0	0	0	0	0	0	0	0	0	0	5	0
안출	0	0	0	0	0	0	0	0	0	0	1	0
72	0	0	0	1	0	0	0	0	0	0	0	1
정보수집	0	0	0	0	0	0	0	0	0	0	1	0
치부	0	0	0	0	0	0	0	0	0	0	1	0
무작정	0	0	0	0	0	0	0	0	0	0	2	0
로동신문	0	1	0	0	0	0	0	0	0	0	0	0
황정욱	1	0	0	0	0	0	0	0	0	0	0	0
부디	0	0	0	0	0	0	0	0	0	0	1	0
망막	0	0	0	0	0	0	0	0	0	0	1	0
거짓말	0	0	0	0	0	0	0	0	0	0	7	0
개봉일자	0	0	0	0	0	0	0	0	0	0	1	0
교육환경	0	0	0	0	0	0	0	0	0	0	1	0
원제	0	0	0	0	0	0	0	0	0	0	2	0
서울시민	0	0	0	0	0	0	0	0	0	0	1	0
쉬	0	0	0	0	0	0	0	0	0	0	9	0
기본	0	0	0	0	0	0	0	0	0	0	11	0
더위	0	0	0	0	0	0	0	0	0	0	1	0
입속	0	0	0	0	0	0	0	0	0	0	1	0
시간낭비	0	0	0	0	0	0	0	0	0	0	1	0
신뢰	0	0	0	0	0	0	0	0	0	0	4	0
世上	0	0	0	0	0	0	0	0	0	0	1	0
달려가	0	0	0	0	0	0	0	0	0	0	5	0
건성	0	0	0	0	0	0	0	0	0	0	1	0
선뜻	0	0	0	0	0	0	0	0	0	0	1	0
선호	0	0	0	0	0	0	0	0	0	0	1	0
연락사무소	0	0	0	0	0	0	0	0	0	0	1	0
인사말	0	0	0	0	0	0	0	0	0	0	1	0
케빈	2	0	0	0	0	0	0	0	0	0	1	0
값지	0	0	0	0	0	0	0	0	0	0	3	0
잔머리	0	0	0	0	0	0	0	0	0	0	1	0
중고	0	0	0	0	0	0	0	0	0	0	1	0
으루다	0	0	0	0	0	0	0	0	0	0	1	0
연수대상자	0	0	0	0	0	0	0	0	0	0	1	0
수안보파크호텔	0	1	0	0	0	0	0	0	0	0	0	0
1977	0	0	0	1	0	0	0	0	0	0	0	0
건군	0	0	0	0	0	0	0	0	0	0	1	0
스콜라	0	0	0	0	0	0	0	0	0	0	2	0
정정	0	0	0	0	0	0	0	0	0	0	2	0
인구과밀	0	0	0	0	0	0	0	0	0	0	1	0
야스쿠니	0	0	2	0	0	0	0	0	0	0	0	0
전격	0	0	0	0	0	0	0	0	0	0	1	0
비타협	0	0	0	0	0	0	0	0	0	0	1	0
미흡	0	0	0	0	0	0	0	0	0	0	1	0
예산위원회	0	1	0	0	0	0	0	0	0	0	0	0
칼	0	0	0	0	0	0	0	0	0	0	2	0
도지	0	0	0	0	0	0	0	0	0	0	1	0
안너	1	0	0	0	0	0	0	0	0	0	0	0
지그시	0	0	0	0	0	0	0	0	0	0	2	0
ㄴ다니	0	0	0	0	0	0	0	0	0	0	4	0
이진경	1	0	0	0	0	0	0	0	0	0	0	0
떠맡기	0	0	0	0	0	0	0	0	0	0	2	0
원호청	0	1	0	0	0	0	0	0	0	0	0	0
비집	0	0	0	0	0	0	0	0	0	0	2	0
대밭	0	0	0	0	0	0	0	0	0	0	1	0
개설	0	0	0	0	0	0	0	0	0	0	2	0
흉하	0	0	0	0	0	0	0	0	0	0	1	0
음악작업	0	0	0	0	0	0	0	0	0	0	1	0
막대기	0	0	0	0	0	0	0	0	0	0	1	0
융합	0	0	0	0	0	0	0	0	0	0	1	0
전체회의	0	0	0	0	0	0	0	0	0	0	2	0
國	0	0	0	0	0	0	0	0	0	0	1	0
부실공연	0	0	0	0	0	0	0	0	0	0	1	0
감소	0	0	0	0	0	0	0	0	0	0	3	0
統一	0	0	0	0	0	0	0	0	0	0	1	0
메디치	0	0	0	0	0	0	0	0	0	0	1	0
교직원	0	0	0	0	0	0	0	0	0	0	1	0
공기	0	0	0	0	0	0	0	0	0	0	1	0
마가렛	0	0	0	0	0	0	0	0	0	0	0	1
휠씬	0	0	0	0	0	0	0	0	0	0	1	0
박노인	6	0	0	0	0	0	0	0	0	0	0	0
Padua	0	1	0	1	0	0	0	0	0	0	0	0
극명	0	0	0	0	0	0	0	0	0	0	1	0
유학생활	0	0	0	0	0	0	0	0	0	0	1	0
大	0	0	0	0	0	0	0	0	0	0	1	1
성악분야	0	0	0	0	0	0	0	0	0	0	1	0
규탄	0	0	0	0	0	0	0	0	0	0	4	0
왜국	0	0	1	0	0	0	0	0	0	0	0	0
공업	0	0	0	0	0	0	0	0	0	0	1	0
촉발	0	0	0	0	0	0	0	0	0	0	1	0
음	0	0	0	0	0	0	0	0	0	0	61	0
차츰	0	0	0	0	0	0	0	0	0	0	3	0
농사	0	0	0	0	0	0	0	0	0	0	2	0
하고	0	0	0	0	0	0	0	0	0	0	8	0
두드리	0	0	0	0	0	0	0	0	0	0	1	0
관립전문학교	0	1	0	0	0	0	0	0	0	0	0	0
레저용역	0	0	0	0	0	0	0	0	0	0	1	0
연주	0	0	0	0	0	0	0	0	0	0	2	0
→	0	0	0	0	0	0	0	0	0	0	1	0
공진협	0	0	0	0	0	0	0	0	0	0	1	0
석원이	3	0	0	0	0	0	0	0	0	0	0	0
호교	0	0	0	0	0	0	0	0	0	0	1	0
가하	0	0	0	0	0	0	0	0	0	0	11	0
법	0	0	0	0	0	0	0	0	0	0	16	0
구하	0	0	0	0	0	0	0	0	0	0	16	0
吟	0	0	0	0	0	0	0	0	0	0	1	0
일치	0	0	0	0	0	0	0	0	0	0	4	0
옛적	0	0	0	0	0	0	0	0	0	0	1	0
낚싯줄	0	0	0	0	0	0	0	0	0	0	4	0
치우치	0	0	0	0	0	0	0	0	0	0	2	0
가정방문	0	0	0	0	0	0	0	0	0	0	2	0
아당	0	0	0	0	0	0	0	0	0	0	0	1
啓蒙哲學	0	0	0	0	0	0	0	0	0	0	1	0
어깨	0	0	0	0	0	0	0	0	0	0	10	0
信仰人間	0	0	0	0	0	0	0	0	0	0	1	0
사오니	0	0	0	0	0	0	0	0	0	0	2	0
통할	0	0	0	0	0	0	0	0	0	0	1	0
돌돌돌	0	0	0	0	0	0	0	0	0	0	1	0
왕가위	1	0	0	0	0	0	0	0	0	0	0	0
기흥성이	1	0	0	0	0	0	0	0	0	0	0	0
라구	0	0	0	0	0	0	0	0	0	0	3	0
24	0	0	0	12	5	0	0	0	0	0	2	4
부유	0	0	0	0	0	0	0	0	0	0	1	0
평화상태	0	0	0	0	0	0	0	0	0	0	2	0
막연히	0	0	0	0	0	0	0	0	0	0	1	0
암	0	0	0	0	0	0	0	0	0	0	2	0
시위	0	0	0	0	0	0	0	0	0	0	2	0
한국의료	0	1	1	0	0	0	0	0	0	0	0	0
콧잔등	0	0	0	0	0	0	0	0	0	0	1	0
의	0	0	0	0	0	0	0	0	0	0	3825	5
선행	0	0	0	0	0	0	0	0	0	0	1	0
유일	0	0	0	0	0	0	0	0	0	0	8	0
고려독립청년당	0	1	0	0	0	0	0	0	0	0	0	0
이서	0	0	0	0	0	0	0	0	0	0	1	0
신바람	0	0	0	0	0	0	0	0	0	0	1	0
가마	0	0	0	0	0	0	0	0	0	0	2	0
짤막	0	0	0	0	0	0	0	0	0	0	1	0
나쁘	0	0	0	0	0	0	0	0	0	0	7	0
빚어지	0	0	0	0	0	0	0	0	0	0	1	0
미처	0	0	0	0	0	0	0	0	0	0	2	0
았었	0	0	0	0	0	0	0	0	0	0	21	0
기쁨	0	0	0	0	0	0	0	0	0	0	2	0
姦生子	0	0	0	0	0	0	0	0	0	0	1	0
매장	0	0	0	0	0	0	0	0	0	0	4	0
서초동	0	0	1	0	0	0	0	0	0	0	0	0
굴리	0	0	0	0	0	0	0	0	0	0	2	0
써클	0	0	0	0	0	0	0	0	0	0	1	0
언어이론	0	0	0	0	0	0	0	0	0	0	1	0
샤론	1	0	0	0	0	0	0	0	0	0	0	0
그윽	0	0	0	0	0	0	0	0	0	0	1	0
6	0	1	0	37	3	0	0	0	0	0	31	13
인터뷰	0	0	0	0	0	0	0	0	0	0	1	0
도둑	0	0	0	0	0	0	0	0	0	0	1	0
강궁	0	0	0	0	0	0	0	0	0	0	1	0
뒤밀이	0	0	0	0	0	0	0	0	0	0	1	0
이강산씨	3	0	0	0	0	0	0	0	0	0	0	0
김수근	1	0	0	0	0	0	0	0	0	0	0	0
상사주재원	0	0	0	0	0	0	0	0	0	0	1	0
徒勞	0	0	0	0	0	0	0	0	0	0	1	0
대행	0	0	0	0	0	0	0	0	0	0	1	0
애	0	0	0	0	0	0	0	0	0	0	8	0
리스본	0	0	1	0	0	0	0	0	0	0	0	0
책정	0	0	0	0	0	0	0	0	0	0	3	0
골치	0	0	0	0	0	0	0	0	0	0	1	0
양명학	0	0	0	0	0	0	0	0	0	0	3	0
자선단체	0	0	0	0	0	0	0	0	0	0	1	0
거두	0	0	0	0	0	0	0	0	0	0	10	0
고치	0	0	0	0	0	0	0	0	0	0	3	0
팔모정	0	0	1	0	0	0	0	0	0	0	0	0
문제연구	0	0	0	0	0	0	0	0	0	0	1	0
향하	0	0	0	0	0	0	0	0	0	0	19	0
가동	0	0	0	0	0	0	0	0	0	0	3	0
屍身	0	0	0	0	0	0	0	0	0	0	1	0
답	0	0	0	0	0	0	0	0	0	0	16	0
메우	0	0	0	0	0	0	0	0	0	0	2	0
춘양	0	0	3	0	0	0	0	0	0	0	1	0
실적	0	0	0	0	0	0	0	0	0	0	1	0
야외촬영	0	0	0	0	0	0	0	0	0	0	3	0
군데군데	0	0	0	0	0	0	0	0	0	0	1	0
파리	0	2	7	0	0	0	0	0	0	0	0	0
이국	0	0	0	0	0	0	0	0	0	0	4	0
스페이시	0	0	0	0	0	0	0	0	0	0	1	1
침체	0	0	0	0	0	0	0	0	0	0	3	0
세계인	0	0	0	0	0	0	0	0	0	0	1	0
차림새	0	0	0	0	0	0	0	0	0	0	1	0
건국초기	0	0	0	1	0	0	0	0	0	0	0	0
열	0	0	0	1	1	0	0	0	0	0	52	1
과연	0	0	0	0	0	0	0	0	0	0	9	0
괜하	0	0	0	0	0	0	0	0	0	0	1	0
16	0	0	0	9	0	0	0	0	0	0	4	6
잠수함침투	0	0	0	0	0	0	0	0	0	0	1	0
함정	0	0	0	0	0	0	0	0	0	0	1	0
신랑감	0	0	0	0	0	0	0	0	0	0	1	0
오기	0	0	0	0	0	0	0	0	0	0	1	0
갱스부르	0	0	0	0	0	0	0	0	0	0	0	1
산파역	0	0	0	0	0	0	0	0	0	0	1	0
국제무용협회	0	0	0	0	0	0	0	0	0	0	0	1
떠나가	0	0	0	0	0	0	0	0	0	0	3	0
번역	0	0	0	0	0	0	0	0	0	0	3	0
이적분자	0	0	0	0	0	0	0	0	0	0	1	0
갑신정변	0	0	0	0	0	0	0	0	0	0	1	0
뒷편	0	0	0	0	0	0	0	0	0	0	1	0
총격전	0	0	0	0	0	0	0	0	0	0	1	0
밤새	0	0	0	0	2	0	0	0	0	0	3	0
기	0	0	0	0	0	0	0	0	0	0	625	0
物性	0	0	0	0	0	0	0	0	0	0	1	0
